seq,ax,ay,az,wroll,wpitch,wyaw
0,0.022477,-1.978227,-0.047863,-0.138833,-0.005056,-0.139753
1,0.050193,-3.954187,-0.116357,-0.274590,-0.073409,-0.186370
2,0.076329,-5.941428,-0.177587,-0.484120,0.053821,-0.101579
3,0.100314,-7.923579,-0.242735,-0.660214,0.091278,-0.193725
4,0.123701,-9.897042,-0.307838,-0.702132,-0.030414,-0.402397
5,0.124502,-9.909390,-0.325893,-0.723390,-0.042700,-0.176675
7,0.124559,-9.913750,-0.334241,-0.630307,-0.011783,-0.201877
8,0.121603,-9.910341,-0.342235,-0.503379,-0.089619,-0.397457
9,0.122763,-9.919897,-0.349014,-0.509014,-0.037976,-0.216174
10,0.130602,-9.916564,-0.357499,-0.498231,0.076913,0.035912
11,0.125115,-9.900807,-0.360738,-0.292982,0.252975,0.036211
12,0.122017,-9.911826,-0.356067,-0.317322,0.378989,0.188517
14,0.122381,-9.907001,-0.351554,-0.240504,0.345901,0.408149
15,0.122355,-9.917224,-0.342872,-0.055511,0.338989,0.425763
16,0.112566,-9.926575,-0.346602,0.114561,0.352966,0.348341
17,0.114270,-9.923470,-0.345311,0.212643,0.283835,0.267554
18,0.109457,-9.926862,-0.338978,0.303081,0.228776,0.242547
19,0.105917,-9.933329,-0.349360,0.356609,0.274409,0.241975
21,0.099439,-9.914428,-0.355665,0.486604,0.327400,0.262084
22,0.097426,-9.934608,-0.343577,0.410139,0.322570,0.305149
23,0.094545,-9.951927,-0.352009,0.288953,0.170309,0.135748
24,0.099405,-9.919132,-0.357961,0.365082,0.113069,0.116538
25,0.100163,-9.909490,-0.351146,0.435763,0.192012,0.266211
26,0.099096,-9.917182,-0.351114,0.421477,0.266892,0.521670
27,0.097093,-9.889793,-0.351806,0.711695,0.299467,0.637399
28,0.096671,-9.886877,-0.344502,0.921555,0.235041,0.715387
29,0.087772,-9.903319,-0.333386,0.968090,0.286372,0.858711
30,0.071075,-9.927328,-0.320855,0.908310,0.223851,0.867457
31,0.066587,-9.925991,-0.298837,0.801785,-0.164270,0.521699
32,0.059901,-9.949387,-0.307067,0.388814,-0.353703,0.427849
33,0.059067,-9.937434,-0.304023,0.110405,-0.237319,0.502377
34,0.054341,-9.934683,-0.297731,-0.166256,-0.412550,0.218769
35,0.060685,-9.944097,-0.306391,-0.423516,-0.661735,-0.086535
36,0.055582,-9.922371,-0.330845,-0.514420,-0.459981,-0.092553
37,0.056175,-9.906075,-0.314187,-0.417857,-0.400624,-0.200212
38,0.049757,-9.922596,-0.317571,-0.351025,-0.586736,-0.313196
39,0.053064,-9.924620,-0.333089,-0.228825,-0.462712,-0.202567
40,0.053146,-9.890634,-0.330528,0.000062,-0.153838,-0.055715
41,0.043943,-9.907906,-0.315688,-0.005844,-0.123705,0.046472
42,0.045655,-9.934837,-0.327923,-0.079447,-0.261336,0.050852
43,0.052291,-9.931462,-0.327586,-0.132927,-0.212919,0.022619
44,0.046316,-9.933128,-0.313607,-0.122666,-0.238408,-0.150803
45,0.040634,-9.930501,-0.316061,-0.114216,-0.375231,-0.423328
46,0.045549,-9.931958,-0.334462,-0.098665,-0.500188,-0.670684
47,0.048154,-9.904782,-0.339138,-0.079195,-0.376049,-0.735775
48,0.049162,-9.905030,-0.334345,-0.039702,-0.244173,-0.704274
49,0.047301,-9.910441,-0.343771,-0.014786,-0.110716,-0.611818
50,0.052266,-9.911124,-0.339481,-0.085144,-0.114466,-0.484019
51,0.063178,-9.908807,-0.345923,-0.083829,-0.134328,-0.373693
52,0.059915,-9.916312,-0.334528,-0.070749,-0.121068,-0.364394
53,0.056088,-9.909119,-0.328017,-0.248489,-0.151045,-0.302267
54,0.065172,-9.918198,-0.326733,-0.426306,-0.264165,-0.125581
55,0.071593,-9.917620,-0.339416,-0.381337,-0.255505,-0.124416
56,0.071910,-9.901353,-0.337195,-0.209438,-0.160050,-0.102626
57,0.075621,-9.890066,-0.325563,0.045380,-0.010165,0.091130
58,0.071769,-9.907849,-0.333661,0.535367,-0.012784,0.018775
59,0.056041,-9.929361,-0.327878,0.821851,0.024533,-0.153045
60,0.052290,-9.944548,-0.306548,0.721112,0.051771,-0.224775
