seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.028449,9.806052,-0.210348,-0.111282,-0.526575,0.071056,91.228851,0.000000,0.000000
2,-0.030120,9.798990,-0.177979,-0.061491,-0.366664,0.025615,91.189545,-0.009778,0.000854
3,-0.032613,9.810768,-0.183309,-0.032467,-0.286502,-0.016374,91.164848,-0.015462,0.000308
4,-0.027144,9.810559,-0.178797,-0.029234,-0.182662,-0.001493,91.139915,-0.017241,0.000258
5,-0.022942,9.811672,-0.174187,-0.015359,-0.138913,-0.014987,91.114937,-0.017497,-0.000241
6,-0.027140,9.814957,-0.166525,-0.001572,-0.067943,-0.030730,91.086311,-0.015809,-0.001266
8,-0.027417,9.815860,-0.170276,-0.001521,-0.064240,-0.026771,91.067772,-0.014361,-0.002158
9,-0.028547,9.814668,-0.168685,-0.008850,-0.057707,-0.012610,91.050911,-0.013027,-0.002578
10,-0.035397,9.818474,-0.172475,0.000295,-0.089760,-0.028432,91.042015,-0.012815,-0.003526
11,-0.038065,9.822077,-0.177838,-0.002666,-0.122239,-0.014217,91.041000,-0.013512,-0.004000
12,-0.029437,9.820115,-0.181075,0.022512,-0.100521,-0.024082,91.044670,-0.013490,-0.004803
13,-0.027652,9.825462,-0.177681,0.027677,-0.075087,-0.030672,91.043678,-0.012794,-0.005825
15,-0.024231,9.825603,-0.171063,0.047432,-0.047535,-0.029666,91.035690,-0.011503,-0.006814
16,-0.020548,9.822947,-0.167649,0.056209,-0.032693,-0.033121,91.025612,-0.010074,-0.007918
17,-0.025950,9.818027,-0.171042,0.061746,-0.005055,-0.033511,91.021751,-0.008194,-0.009035
18,-0.034354,9.821342,-0.165540,0.047914,0.011345,-0.027985,91.011810,-0.006253,-0.009968
19,-0.041396,9.820498,-0.175874,0.052247,0.019829,-0.031495,91.016045,-0.004474,-0.011018
20,-0.041086,9.819802,-0.183093,0.035775,0.010323,-0.034890,91.027420,-0.003304,-0.012181
22,-0.039606,9.822371,-0.180973,0.015416,-0.009202,-0.027843,91.033455,-0.002888,-0.013109
23,-0.032634,9.825561,-0.174177,0.010483,-0.004473,-0.016599,91.030167,-0.002430,-0.013662
24,-0.031799,9.823997,-0.175476,0.016042,0.007481,-0.016054,91.029221,-0.001744,-0.014197
25,-0.023950,9.823465,-0.169940,0.021420,0.014615,-0.014052,91.022171,-0.001006,-0.014666
26,-0.024818,9.821215,-0.167125,0.011862,0.012660,-0.018019,91.013031,-0.000467,-0.015266
27,-0.027923,9.817884,-0.170673,-0.000334,-0.008418,-0.023332,91.009605,-0.000598,-0.016044
29,-0.024049,9.817511,-0.167060,-0.013606,-0.046515,-0.015188,91.002304,-0.001719,-0.016550
30,-0.026531,9.819389,-0.167329,-0.019063,-0.044990,-0.002883,90.996590,-0.002575,-0.016646
31,-0.025108,9.818468,-0.166111,-0.034673,-0.056798,-0.035258,90.990196,-0.003574,-0.017822
32,-0.020697,9.819877,-0.164097,-0.052723,-0.105116,-0.016392,90.982231,-0.005663,-0.018368
33,-0.024194,9.819443,-0.165889,-0.043615,-0.092815,-0.012902,90.978195,-0.007005,-0.018798
34,-0.037132,9.819590,-0.168033,-0.025951,-0.024832,-0.030190,90.977936,-0.006266,-0.019804
36,-0.030045,9.819793,-0.169257,-0.020672,-0.040253,-0.049863,90.979294,-0.006086,-0.021467
37,-0.027491,9.820686,-0.167954,0.008048,-0.027126,-0.014283,90.979607,-0.005593,-0.021943
38,-0.032320,9.817625,-0.167646,0.043205,0.023943,-0.019718,90.980499,-0.003836,-0.022600
39,-0.032172,9.816821,-0.165342,0.065403,0.064484,-0.024975,90.979134,-0.001349,-0.023432
40,-0.027767,9.816101,-0.169798,0.066211,0.029900,-0.030060,90.983269,-0.000282,-0.024434
41,-0.027139,9.814835,-0.166763,0.071420,0.015636,-0.024647,90.983200,0.000192,-0.025256
43,-0.032822,9.812924,-0.169006,0.049892,0.003317,-0.017935,90.985237,0.000242,-0.025854
44,-0.033479,9.816997,-0.168596,0.051208,0.013539,-0.026203,90.986336,0.000554,-0.026727
45,-0.030588,9.819117,-0.165628,0.046577,0.008668,-0.012060,90.983582,0.000675,-0.027129
46,-0.027572,9.817507,-0.155242,0.042098,0.003956,-0.001334,90.969170,0.000645,-0.027174
47,-0.028629,9.813726,-0.150230,0.036291,0.020061,0.016421,90.951714,0.001051,-0.026626
48,-0.029904,9.811852,-0.154411,0.033625,0.028259,0.009979,90.942589,0.001594,-0.026294
50,-0.025001,9.810084,-0.157161,0.028095,0.028808,0.008176,90.938385,0.002044,-0.026021
51,-0.028862,9.810237,-0.159445,0.030126,0.014581,0.000528,90.937744,0.002024,-0.026004
52,-0.030441,9.811574,-0.165130,0.030614,0.021482,-0.008345,90.943855,0.002192,-0.026282
53,-0.032531,9.815051,-0.171456,0.029611,0.020778,-0.018402,90.956032,0.002308,-0.026895
54,-0.027668,9.819676,-0.162873,0.027164,0.020097,-0.023703,90.955605,0.002382,-0.027685
55,-0.028767,9.821424,-0.165313,0.038080,0.003203,-0.019974,90.958359,0.001991,-0.028351
57,-0.020213,9.820046,-0.161089,0.032404,0.001622,-0.016367,90.955513,0.001636,-0.028897
58,-0.021870,9.820090,-0.164822,0.034294,0.003045,-0.018782,90.957642,0.001390,-0.029523
59,-0.027257,9.815949,-0.164012,0.031693,0.025084,-0.018167,90.958412,0.001781,-0.030128
