seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.073328,-9.823484,-0.005144,0.285459,1.190091,-0.348573,-90.029999,0.000000,0.000000
2,-0.054066,-9.825576,-0.002738,0.206985,0.676157,-0.221097,-90.021202,0.027994,-0.009495
3,-0.054273,-9.824777,-0.002551,0.152364,0.365322,-0.128386,-90.015175,0.040817,-0.015319
4,-0.044700,-9.831243,-0.010188,0.109942,0.213850,-0.108326,-90.015656,0.045423,-0.019264
5,-0.046363,-9.833900,-0.005737,0.099360,0.123069,-0.084167,-90.014290,0.045934,-0.022473
6,-0.034224,-9.836516,-0.007886,0.040019,-0.208616,-0.000234,-90.015366,0.040057,-0.023879
8,-0.043592,-9.840017,-0.008766,0.009189,-0.405450,0.045527,-90.018196,0.026841,-0.023124
9,-0.039812,-9.844829,-0.013749,0.013315,-0.356736,0.027799,-90.024040,0.012724,-0.021902
10,-0.047287,-9.841754,-0.009208,0.027638,-0.283053,0.020984,-90.026390,0.001854,-0.021089
11,-0.047291,-9.842883,-0.012803,0.025256,-0.197027,0.001110,-90.030403,-0.005532,-0.020721
12,-0.057273,-9.838602,-0.013702,0.043614,-0.100538,-0.028444,-90.034309,-0.009442,-0.021177
13,-0.053945,-9.835912,-0.013276,0.065799,0.062155,-0.064409,-90.036972,-0.009073,-0.022724
15,-0.057366,-9.832318,-0.010080,0.075449,0.123581,-0.081485,-90.037025,-0.005379,-0.025156
16,-0.054936,-9.830692,-0.007705,0.078879,0.084108,-0.061102,-90.035500,-0.001725,-0.027532
17,-0.053217,-9.830723,-0.011565,0.077769,0.020839,-0.054672,-90.036346,0.000021,-0.029462
18,-0.048767,-9.836093,-0.005813,0.095882,0.000969,-0.045500,-90.033493,0.000346,-0.031131
19,-0.046858,-9.838958,-0.006850,0.114877,-0.000539,-0.042532,-90.030975,0.000318,-0.032598
20,-0.037421,-9.840422,-0.009616,0.121442,-0.061033,-0.030807,-90.029930,-0.000638,-0.033821
22,-0.041345,-9.841905,-0.008857,0.126316,-0.070839,-0.053411,-90.028381,-0.002552,-0.035224
23,-0.041985,-9.838048,-0.006757,0.116272,-0.044903,-0.056088,-90.025841,-0.004032,-0.037049
24,-0.044574,-9.836150,-0.005580,0.105080,-0.047858,-0.055725,-90.023178,-0.005020,-0.038913
25,-0.042345,-9.835460,-0.001380,0.092780,-0.061048,-0.058326,-90.018692,-0.006151,-0.040814
26,-0.051454,-9.838033,0.003869,0.089738,-0.067902,-0.046082,-90.011833,-0.007470,-0.042554
27,-0.056016,-9.835904,0.006372,0.086796,0.009595,-0.035716,-90.004288,-0.007598,-0.043917
29,-0.060133,-9.837309,0.012914,0.107565,-0.042376,-0.012406,-89.993416,-0.007330,-0.044719
30,-0.056015,-9.835901,0.006613,0.101087,-0.051318,-0.006096,-89.987091,-0.008002,-0.045028
31,-0.054051,-9.836402,0.003123,0.077110,-0.054064,-0.010324,-89.983887,-0.008782,-0.045301
32,-0.056901,-9.832698,0.005110,0.052444,-0.083285,-0.015889,-89.980576,-0.009963,-0.045738
33,-0.048354,-9.836206,0.002745,0.047773,-0.182392,-0.010940,-89.979408,-0.012952,-0.046185
34,-0.048312,-9.837989,0.003862,0.052110,-0.111472,-0.034196,-89.977715,-0.016064,-0.046938
36,-0.049008,-9.841990,0.009841,0.071064,-0.134384,-0.030123,-89.972366,-0.018146,-0.048010
37,-0.056811,-9.840743,0.012608,0.121867,-0.158020,-0.017329,-89.964897,-0.020717,-0.048800
38,-0.057220,-9.842628,0.015415,0.160673,-0.146936,-0.002002,-89.955200,-0.023220,-0.049123
39,-0.051096,-9.840512,0.014760,0.158357,-0.125884,0.014299,-89.946304,-0.024989,-0.048918
40,-0.050444,-9.839227,0.011723,0.136931,-0.135041,0.027113,-89.940414,-0.026404,-0.048228
41,-0.054227,-9.837783,0.007366,0.097020,-0.078957,0.020321,-89.938576,-0.026974,-0.047437
43,-0.054341,-9.837156,0.009404,0.052514,-0.066037,0.031462,-89.936996,-0.026452,-0.046574
44,-0.047400,-9.842755,0.004911,0.012419,-0.062396,0.021575,-89.939461,-0.025733,-0.045690
45,-0.057386,-9.848220,0.009973,0.001681,-0.061827,0.013488,-89.939491,-0.025023,-0.045106
46,-0.054065,-9.845667,0.009196,-0.011657,-0.067179,0.014522,-89.940346,-0.024455,-0.044639
47,-0.055265,-9.843518,0.009762,-0.009799,-0.073832,0.015522,-89.940948,-0.024125,-0.044138
48,-0.049285,-9.845956,0.009432,-0.008002,-0.043370,0.004682,-89.941635,-0.023470,-0.043801
50,-0.056139,-9.838048,0.016052,-0.001836,-0.021285,0.008956,-89.938271,-0.022093,-0.043574
51,-0.051152,-9.832522,0.011843,0.007079,0.014834,0.002759,-89.937462,-0.019980,-0.043379
52,-0.050128,-9.830812,0.013136,0.015703,0.057149,-0.006187,-89.935715,-0.016902,-0.043436
53,-0.050568,-9.831141,0.015794,0.018140,0.133498,-0.014840,-89.932434,-0.012353,-0.043786
54,-0.048277,-9.829686,0.014557,0.008689,0.198489,-0.027637,-89.930298,-0.006137,-0.044494
55,-0.044896,-9.836985,0.012151,0.002501,0.208216,-0.041490,-89.930023,0.000577,-0.045646
57,-0.043719,-9.838060,0.011204,-0.027099,0.176300,-0.037178,-89.930870,0.006287,-0.046957
58,-0.044641,-9.837931,0.012771,-0.032114,0.101153,-0.022676,-89.931229,0.009820,-0.047955
