seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
61,-0.069981,0.807811,-0.003205,-30.463236,-0.584946,5.160572,-89.771683,-4.951992,87.356018
62,-0.651987,2.096053,-5.451612,-67.687782,-11.496466,25.458744,-91.423515,-4.439654,87.552673
63,-0.605529,2.342628,-5.134346,-57.724720,-10.319479,27.635189,-93.535873,-3.540925,87.879372
64,-0.579993,2.613797,-4.618362,-45.602127,-8.307734,27.319954,-95.270081,-2.604275,88.119804
65,-0.699117,2.629038,-4.631739,-37.319447,-8.075817,29.579519,-96.658043,-1.632937,88.293678
66,-0.675337,2.122373,-4.626077,-29.038979,-9.995322,31.470514,-97.767052,-0.585948,88.465515
67,-0.831543,1.850365,-4.629738,-24.650518,-10.646019,25.194658,-98.662186,0.397530,88.671837
68,-1.033075,1.784568,-3.877243,-24.706715,-8.190064,15.982178,-99.482231,1.124456,88.873543
69,-1.372622,1.592207,-3.051111,-22.108768,-5.982512,12.068214,-100.258873,1.625533,89.025581
70,-1.517713,1.233213,-2.673172,-15.863070,-4.849930,3.774873,-100.887695,1.918260,89.154503
71,-1.593591,0.535502,-2.315192,-4.055582,-2.508463,-7.498184,-101.215370,1.880783,89.286583
72,-1.755481,0.097349,-2.945565,3.976422,1.684969,-12.212076,-101.214493,1.561113,89.363663
73,-1.878590,-0.399365,-3.933135,5.369236,4.824891,-9.082707,-101.059746,1.191889,89.325569
74,-1.619440,-0.765265,-5.090202,-2.707757,8.177428,-9.804442,-101.018211,0.841397,89.173058
75,-1.264441,-0.590508,-5.337151,-18.339334,13.644254,-10.101623,-101.372337,0.445239,88.880905
76,-0.890460,0.394219,-5.410072,-40.372257,19.485928,-8.560827,-102.352898,0.027172,88.404907
77,-0.478357,1.168782,-4.468976,-59.239307,23.460032,-5.895791,-104.011101,-0.370885,87.763786
78,-0.226660,1.628712,-3.848353,-67.589561,24.138077,-5.264604,-106.117386,-0.756836,87.047089
79,-0.042537,2.111304,-3.042705,-68.757294,22.455379,-5.451484,-108.377403,-1.157743,86.358986
80,-0.074511,2.478350,-2.485467,-64.468208,18.549179,-3.568299,-110.582870,-1.527495,85.765106
81,-0.185300,2.670655,-2.002822,-56.738247,13.257424,-2.070553,-112.588860,-1.810066,85.307167
82,-0.256197,2.734309,-1.719820,-46.206757,6.955844,-1.073661,-114.294525,-1.992464,85.019218
83,-0.128379,2.817372,-1.342792,-35.170692,2.413521,-2.731894,-115.646416,-2.116291,84.904686
84,-0.004075,2.631453,-1.092307,-25.370392,-1.446016,-5.655205,-116.657066,-2.249238,84.951805
85,0.121728,2.176690,-0.859543,-16.023588,-3.207851,-10.367434,-117.354683,-2.452314,85.142166
86,0.588587,1.544723,-0.899889,-9.617836,-2.311482,-16.030087,-117.795090,-2.800018,85.427368
87,0.849114,0.797926,-1.084976,-7.247628,-0.231915,-20.896164,-118.093636,-3.324007,85.753311
88,0.915895,0.159412,-1.206909,-7.517874,1.813639,-23.724310,-118.360825,-3.991750,86.082298
89,0.866090,-0.160554,-1.148990,-6.659440,2.827460,-23.292883,-118.620483,-4.717313,86.388924
90,0.906437,-0.010789,-1.172036,-5.852767,3.279338,-21.743645,-118.853165,-5.424371,86.661560
91,0.597790,0.370039,-0.767914,-3.746922,1.741949,-18.157612,-119.038155,-6.046790,86.911400
92,0.445472,0.696364,-0.460327,-0.480337,-2.069492,-12.479211,-119.136353,-6.490372,87.165871
93,0.360730,1.178523,-0.196610,1.342648,-5.718686,-6.324224,-119.152588,-6.700930,87.433563
94,0.449295,1.259054,-0.266238,2.077915,-8.585495,0.157752,-119.125725,-6.674646,87.693573
95,0.273326,1.000573,-0.598626,1.437103,-12.880140,7.641446,-119.095528,-6.387047,87.944489
96,0.060872,0.722697,-0.975136,-0.136232,-16.190319,14.589741,-119.099716,-5.827670,88.189003
97,-0.167518,0.480285,-1.146586,-1.910973,-17.880291,21.254055,-119.153183,-5.029432,88.395111
98,-0.465645,0.128489,-1.334512,-3.212791,-19.038052,27.103706,-119.249756,-4.025736,88.539345
99,-1.059140,0.114773,-1.305635,-5.216042,-20.488571,30.554033,-119.396278,-2.865362,88.643227
100,-1.520324,0.268886,-1.013024,-6.449266,-20.404818,32.154560,-119.593689,-1.620243,88.721786
101,-1.693326,0.239870,-0.847894,-6.545362,-19.118462,31.513357,-119.810974,-0.372292,88.768082
102,-1.743174,0.414970,-0.768358,-6.031082,-16.323227,27.794931,-120.020424,0.778935,88.787071
103,-1.739725,0.645133,-0.575114,-4.926694,-12.576138,23.274364,-120.203239,1.756775,88.776695
104,-1.433786,0.613443,-0.459628,-20.754286,-25.348108,50.875622,-120.634605,3.142391,88.695969
