seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.919785,-0.627982,9.441318,-0.563768,-3.706962,0.716423,-3.805381,11.469079,0.000000
2,-1.930788,-0.518888,9.474253,-0.411175,-2.875332,0.937682,-3.716452,11.392547,0.031256
3,-1.867203,-0.593337,9.529653,-0.022064,-1.700370,1.036867,-3.694024,11.295234,0.065818
4,-2.028612,-0.456464,9.552396,0.306010,-1.074740,0.914793,-3.541622,11.366947,0.096311
5,-1.981457,-0.451226,9.537740,-0.159397,-2.242073,0.457015,-3.421187,11.356898,0.111545
6,-1.903319,-0.482006,9.477077,-0.296731,-1.952147,0.281534,-3.353152,11.299292,0.120930
7,-1.941683,-0.455242,9.557728,-0.228064,-1.440962,1.013978,-3.265688,11.284204,0.154729
8,-1.953293,-0.516366,9.560600,-0.167027,-1.723258,0.983459,-3.244297,11.272343,0.187511
9,-1.936945,-0.586792,9.604913,-0.289101,-2.081851,0.601978,-3.290246,11.229626,0.207577
10,-1.949003,-0.574518,9.443617,-0.502730,-2.135258,2.295755,-3.333162,11.230717,0.284102
11,-1.809200,-0.447716,9.589554,-0.876582,-2.257332,5.744347,-3.258986,11.083055,0.475580
12,-2.021097,-0.448857,9.680660,-2.310952,-3.142369,11.359753,-3.301952,11.018411,0.854239
13,-1.870426,-0.552379,9.054894,-4.019989,-3.142369,17.738121,-3.438699,10.950487,1.445509
14,-2.176468,-0.758170,9.192017,-4.813470,2.335703,30.342266,-3.654949,11.140805,2.456918
15,-1.940645,-0.483210,9.015611,-7.102358,4.655110,44.762260,-3.850507,11.337721,3.948994
16,-2.148059,-0.376166,9.749568,-7.575395,2.640889,56.885738,-4.008346,11.475270,5.845185
17,-1.891760,-0.621647,9.188452,-8.513839,-7.025849,67.956329,-4.271056,11.259418,8.110396
18,-1.774119,-0.207010,9.121564,-7.399913,3.876888,86.557358,-4.356837,11.369400,10.995642
19,-2.062932,-0.122170,9.588476,-8.345987,7.165258,110.171059,-4.403285,11.634879,14.668011
20,-1.884026,0.496426,9.253400,-11.535172,11.743034,118.449203,-4.394858,11.999611,18.616318
21,-2.149273,0.708716,9.045642,-15.121096,13.513107,119.807274,-4.429955,12.493867,22.609894
22,-3.303639,-0.174996,10.408422,-19.248724,18.335032,117.442093,-4.866161,13.330140,26.524632
23,-3.089833,0.107473,9.530703,-24.284279,11.865108,106.188393,-5.391855,13.937437,30.064245
24,-1.744745,0.956448,9.106281,-29.480055,6.623554,106.684319,-5.756003,13.989729,33.620388
25,-2.067421,1.034586,9.701320,-31.707907,7.218665,110.506760,-6.167924,14.117049,37.303947
26,-2.569459,0.950448,9.626007,-32.936279,10.568071,102.831352,-6.620562,14.489669,40.731659
27,-2.677624,0.726342,9.811734,-33.493240,5.196814,96.063873,-7.138465,14.690983,43.933788
28,-2.647163,0.763744,9.503106,-33.485611,-4.393628,89.677879,-7.612176,14.593202,46.923050
29,-2.962133,0.887519,9.049409,-34.195168,0.794518,83.185066,-8.034347,14.790893,49.695885
30,-2.974863,0.520181,9.003179,-33.142277,2.228889,76.730400,-8.516798,15.034747,52.253563
31,-3.563742,0.287503,9.459110,-30.670279,11.788813,68.108925,-8.975137,15.688087,54.523861
32,-3.315597,-0.299751,10.291347,-28.106722,15.443403,62.440109,-9.499844,16.285248,56.605198
33,-2.549125,-0.113202,8.323229,-33.615314,7.645924,61.188850,-10.089335,16.564436,58.644825
34,-3.389865,-1.204704,9.061672,-27.130129,17.655996,62.966553,-10.822629,17.312624,60.743710
35,-3.230972,-0.499329,8.251306,-20.690723,18.548662,41.496780,-11.109856,18.101784,62.126934
36,-3.078572,-0.521972,9.193476,-19.546280,14.039553,35.446487,-11.335806,18.565588,63.308483
37,-3.897446,-1.400422,9.165158,-20.110872,9.461775,37.506485,-11.840236,19.076946,64.558701
38,-3.594813,-1.253702,8.591191,-18.913021,12.933256,33.684040,-12.262261,19.657240,65.681503
39,-3.037936,-0.893895,9.707324,-19.675983,18.418959,32.821896,-12.535282,20.123087,66.775566
40,-3.054712,-1.303140,9.460969,-25.138798,14.024294,39.024780,-13.096704,20.447893,68.076393
41,-3.675198,-1.652629,9.383739,-27.198797,13.963257,42.587818,-13.802579,20.922298,69.495987
42,-3.550480,-1.267124,8.971690,-24.032501,8.584368,38.521225,-14.275432,21.217916,70.780029
