seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-8.440972,-1.871787,4.294497,0.338211,-1.619494,1.562041,-23.550322,60.969997,0.000000
2,-8.538705,-1.793608,4.284822,0.533750,-1.669714,0.765502,-23.409748,60.995247,0.025517
3,-8.522779,-1.701467,4.301009,0.745015,-1.268137,0.799442,-23.114719,61.036716,0.052165
4,-8.473504,-1.823631,4.299743,1.080719,-0.947693,0.227220,-23.064348,61.024914,0.059739
5,-8.487854,-1.771911,4.367652,1.042571,-0.192360,-0.093224,-22.887440,61.009148,0.056631
6,-8.456836,-1.773125,4.254407,0.958645,-0.116065,-0.192410,-22.820927,61.065823,0.050218
7,-8.612167,-1.666521,4.441672,0.844200,-0.085546,-0.184780,-22.458794,61.076294,0.044058
8,-8.539098,-1.784114,4.319902,-0.113293,-2.444181,-0.038512,-22.459270,61.041523,0.042775
9,-8.692645,-1.717695,4.544079,0.775962,-1.906522,0.471936,-22.174438,60.951477,0.058506
10,-8.490518,-1.696019,4.314771,0.108506,-3.497026,1.460076,-22.063965,60.914253,0.107175
11,-8.705130,-1.620208,4.543396,0.414887,-1.404674,1.736907,-21.686605,60.888596,0.165072
12,-8.553089,-1.748362,4.607589,0.917851,-3.144462,2.580263,-21.524515,60.673740,0.251081
13,-8.410585,-1.625983,4.520597,0.551629,-9.950090,3.450040,-21.419962,60.338215,0.366082
14,-8.367226,-1.365221,4.403471,-0.600445,-12.589942,4.892040,-21.229237,59.979904,0.529150
15,-7.917259,-0.930438,3.581448,-2.301852,-12.292386,8.714483,-20.968824,59.839134,0.819633
16,-7.895885,-1.345613,2.579030,-1.210815,3.157609,11.979964,-21.336395,60.435944,1.218965
17,-7.726862,-1.126068,2.143637,1.619777,27.747898,13.154926,-21.603945,61.922848,1.657462
18,-7.315430,-1.355768,2.226105,4.038369,49.370262,8.745003,-21.963001,63.909554,1.948963
19,-8.120918,-1.105885,1.606248,5.022591,66.117294,11.506927,-22.433153,66.632629,2.332527
20,-8.255339,-1.416605,1.014271,5.083628,86.084030,10.850779,-23.870403,69.931129,2.694219
21,-8.007576,-2.081775,1.306966,14.437551,119.730690,5.510039,-25.113636,73.872810,2.877887
22,-7.863490,-0.738971,2.029072,26.202436,144.481186,3.923077,-24.028770,78.486618,3.008657
23,-8.840392,-1.617043,1.476656,27.468954,144.450668,13.490630,-24.337391,82.940933,3.458344
24,-10.138729,-2.103863,0.738593,26.705992,139.102310,8.203298,-25.807611,87.078629,3.731787
25,-9.928493,-0.976364,-0.179550,33.313248,154.079254,11.987594,-28.483315,91.818375,4.131374
