seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.114875,-0.044540,9.863484,-0.668900,0.883024,1.371301,0.000000,6.448738,0.000000
2,-0.962436,0.048014,9.611629,-0.027093,-1.595920,1.363242,-0.000768,6.293915,0.045441
3,-0.946710,-0.065462,9.827922,-0.355167,1.547487,0.791020,-0.010716,6.218992,0.071809
4,-1.144776,-0.035192,10.040474,0.077109,-2.466036,1.274272,-0.006923,6.191949,0.114284
5,-0.806338,0.020278,9.531363,0.613285,-8.997219,1.926169,0.013181,5.865632,0.178490
6,-0.735341,-0.033176,9.659966,-0.048838,-3.979378,2.010611,0.009820,5.526000,0.245510
7,-0.782158,-0.109541,9.687031,-0.285356,0.682325,1.529945,0.000262,5.408819,0.296509
8,-0.953907,0.146276,9.767332,-0.102245,2.360843,2.414982,-0.002674,5.500992,0.377008
9,-1.036548,0.097398,9.782590,-0.180068,-0.720011,2.867134,-0.007375,5.562660,0.472579
10,-0.714402,-0.016270,9.730824,-0.801422,-3.825313,2.780518,-0.033237,5.404243,0.565263
11,-0.543388,-0.051842,9.715147,-0.922738,-1.176116,2.217073,-0.054395,5.040477,0.639166
12,-0.488011,0.045840,9.868032,-1.578886,1.944402,4.025295,-0.104349,5.048438,0.773342
13,-0.778735,-0.081107,9.784533,-1.502590,2.219068,3.659073,-0.131270,5.036595,0.895311
14,-0.963763,-0.147477,9.726278,-0.808294,1.181439,2.377296,-0.134481,5.163316,0.974554
15,-0.894650,-0.063282,9.392506,-0.701479,3.714475,3.659073,-0.153917,5.290978,1.096524
16,-1.368290,-0.325949,9.588752,-0.869331,10.604029,2.232333,-0.226995,5.706247,1.170935
17,-1.283202,-0.070247,9.042833,0.656595,9.024696,2.033962,-0.199981,6.058801,1.238733
18,-1.291462,0.045592,8.816990,-0.175035,18.416767,0.859000,-0.200670,6.714200,1.267367
19,-1.647158,0.212340,7.978942,-2.761478,22.620691,4.933220,-0.247291,7.573022,1.431807
20,-0.754056,-0.063803,7.986656,-6.156663,30.334246,5.894554,-0.441200,8.504395,1.628293
21,-0.500624,-0.656704,8.339910,-3.745700,36.598167,2.163666,-0.664463,9.566843,1.700415
22,-1.302767,0.487539,11.606700,-1.136368,39.329575,1.133666,-0.624651,10.765849,1.738204
23,-0.944771,0.322611,13.308099,-2.273182,3.905216,8.130033,-0.648196,10.725112,2.009205
24,-2.272938,-0.291148,14.826927,-5.050367,3.058327,11.273440,-0.824252,10.774225,2.384986
25,-2.579413,-0.354829,14.000920,-2.532590,5.240401,14.187958,-0.922249,10.936067,2.857918
26,-3.614003,-0.575517,9.763337,4.334075,39.543205,14.905143,-0.842673,12.454825,3.354756
27,-3.917880,0.056962,7.856302,6.508519,92.004524,7.901145,-0.610079,15.796214,3.618128
28,-3.042029,0.427846,6.267432,6.195704,99.786743,-0.010778,-0.295836,19.290337,3.617768
29,-1.872411,0.387160,5.841108,2.007039,86.236526,-5.076850,-0.128408,22.054197,3.448540
30,-1.137428,0.039095,5.506719,3.334594,60.173714,-3.901888,-0.016823,23.750244,3.318477
31,-2.446875,-0.729797,5.983420,4.761334,30.433432,-5.336258,-0.035510,24.697924,3.140602
32,-3.506260,0.057443,7.080236,4.257779,-12.521372,-5.183667,0.103756,24.332148,2.967813
33,-3.899762,0.928654,8.526684,7.439332,-48.090694,-0.735593,0.498332,22.772144,2.943293
34,-3.092207,1.450766,11.503702,11.834000,-69.995354,7.267887,1.050174,20.301306,3.185556
35,-3.667908,0.110292,16.254478,-14.991771,-65.951653,-3.840851,0.536687,17.968241,3.057528
36,-5.174606,0.434106,10.156350,-5.592070,-34.799885,-21.762846,0.402714,17.062475,2.332099
37,-0.812993,-0.363657,10.700897,-4.104293,9.123880,-25.173290,0.210597,17.040995,1.492990
38,-3.018304,-2.228261,9.921177,-3.097182,-17.053371,-22.151957,-0.211785,16.474052,0.754591
39,-2.199210,-0.198386,7.589092,-12.664735,-22.745071,-23.105659,-0.655530,15.726876,-0.015598
40,-2.266457,-0.201187,8.243438,-7.758885,-2.625745,-26.645807,-0.926258,15.632586,-0.903791
41,-2.694598,-1.005762,9.861999,-6.149034,4.576623,-8.723814,-1.248522,15.770681,-1.194585
42,-2.194406,-1.826854,10.025664,-6.705996,3.279586,1.545666,-1.693429,15.786805,-1.143063
44,-1.870167,-0.686030,8.678142,9.430666,7.033363,-4.657221,-1.457596,15.923838,-1.298303
45,-2.367991,-0.159505,8.734813,16.945848,9.963140,-3.802703,-0.896570,16.228691,-1.425060
46,-4.412267,0.518221,10.216927,23.286068,12.831881,5.421516,-0.044767,16.823278,-1.244343
47,-5.483956,0.716964,10.292525,23.415771,4.225660,11.609144,0.816982,17.239822,-0.857371
48,-2.762417,1.664274,8.811759,24.453402,-1.679671,20.161957,1.858680,17.182270,-0.185306
49,-1.498664,0.336144,9.094821,17.685923,-6.852559,37.732986,2.439922,16.763781,1.072460
50,-1.573446,0.160021,10.034159,10.933703,-17.442482,32.010765,2.757111,16.000576,2.139486
51,-1.497994,0.680236,10.379245,9.094962,-2.457893,5.833517,3.077512,15.725561,2.333936
52,-2.912024,0.715995,9.921745,7.317260,-0.466561,-9.517294,3.341574,15.725179,2.016693
53,-2.042735,1.587790,8.913013,2.861557,-26.392035,-6.122109,3.603558,14.792181,1.812623
54,-1.974789,2.131481,9.149182,-1.639923,-28.741959,-3.619592,3.788028,13.785051,1.691970
55,-1.803981,1.394811,10.696110,-0.770146,-24.156553,-15.933811,3.854038,12.892696,1.160843
56,-2.414017,1.051325,9.836234,1.762891,-31.366552,-29.026251,3.967501,11.893814,0.193301
57,-1.985630,0.848253,10.126060,0.122521,-23.210480,-29.064400,3.992007,11.118546,-0.775512
58,-2.244998,-0.274812,9.709249,6.745037,-10.316410,-25.310623,4.070888,10.830655,-1.619200
59,-1.955361,0.196545,8.755552,15.320739,0.036995,-30.750546,4.499189,10.875744,-2.644218
60,-1.844660,-0.049279,8.844369,13.085258,-8.073298,-44.048988,4.811980,10.635995,-4.112518
61,-2.306240,0.039209,10.469975,13.169184,-15.947075,-50.457874,5.119679,10.162370,-5.794447
62,-1.630533,0.579398,9.426013,14.473850,-28.871662,-44.377060,5.550024,9.214879,-7.273683
63,-1.288075,0.745090,10.515167,11.772962,-16.465889,-32.871582,5.895223,8.623528,-8.369402
64,-1.002684,0.874725,10.706014,9.659555,-25.873219,-29.461140,6.178551,7.700381,-9.351440
65,-1.569113,1.350811,11.150924,6.897630,-19.014185,-21.533957,6.420938,7.088722,-10.069239
66,-1.599995,0.692178,10.557149,6.684000,-10.491891,-16.452625,6.571425,6.785511,-10.617660
67,-1.297349,0.262121,10.236066,7.027334,-0.519968,-17.757292,6.672200,6.779499,-11.209569
68,-1.689391,0.478370,10.404428,4.433260,0.334550,-10.654109,6.715287,6.851214,-11.564706
69,-0.994666,0.741809,9.636124,2.853927,-4.556041,-8.121072,6.750209,6.678765,-11.835408
70,-0.983069,0.929682,9.482226,2.525853,5.682919,-9.189220,6.803536,6.843765,-12.141716
71,-1.507967,0.954354,8.556510,0.092002,13.610102,-8.182109,6.795543,7.363364,-12.414453
72,-1.528630,0.638116,9.368334,-6.835700,19.507805,-6.000036,6.500910,8.044439,-12.614453
